MENU_NAME|REM|REM_GB|MF_TABLE|TF_TABLE
OthAC|受订单(印刷业)|受订单(印刷业)|MF_NCQ_SO|TF_NCQ_SO
InvAE|受订退回|受订退回|MF_POS|TF_POS
SgtAGA1|受订转采购|受订转采购|MF_ZD|TF_ZD
SgtAGA2|受订转采购再转受订|受订转采购再转受订|MF_ZD|TF_ZD
WagCEF|受雇者補充保費計算|受雇者補充保費計算|MF_JY|TF_JY
FASEK|数据维护之资料替换|数据维护之资料替换||
WagCED|所得税合并计算|所得税合并计算|MF_FQ|TF_FQ
INVAO|淘宝退款单|淘宝退款单|MF_TBAO|TF_TBAO
DRPB1|条码打印作业|条码打印作业|PRDT_BARCODE|
InvJF|图纸设计费用单|图纸设计费用单|MF_MAP|TF_MAP
MrpAG|退料单|退料单|MF_ML|TF_ML
MrpFU|退料检验单|退料检验单|MF_QC|TF_QC
MrpBLC|退料送检|退料送检|MF_TI|TF_TI
MrpBU|退料验收单|退料验收单|MF_TY|TF_TY
WAGDR|退休金提拨单|退休金提拨单|MF_TX|TF_TX
WagDV|退休提拨切制凭证作业|退休提拨切制凭证作业|MF_TG|TF_TG
MrpAGM|托工补料|托工补料|MF_ML|TF_ML
MrpAGT|托工补料申请单|托工补料申请单|MF_QL|TF_QL
MrpAHJ|托工核价单|托工核价单|MF_HJ|TF_HJ
MrpFO|托工检验单|托工检验单|MF_QC|TF_QC
SgtAGG1|托工领/补料转进货|托工领/补料转进货|MF_ZD|TF_ZD
MrpAGK|托工领料|托工领料|MF_ML|TF_ML
MrpAGR|托工领料申请单|托工领料申请单|MF_QL|TF_QL
MrpBLB|托工送检|托工送检|MF_TI|TF_TI
MrpBR|托工退回单|托工退回单|MF_TC|TF_TC
MrpAGL|托工退料|托工退料|MF_ML|TF_ML
MrpAGS|托工退料申请单|托工退料申请单|MF_QL|TF_QL
MrpBJ|托工验收退回单|托工验收退回单|MF_TY|TF_TY
InvCAD|托工原料处理单|托工原料处理单|MF_DW|TF_DW
MrpBRA|托工折让单|托工折让单|MF_TD|TF_TD
SgtAGE1|托工转受订|托工转受订|MF_ZD|TF_ZD
MrpBE|托外加工单|托外加工单|MF_TW|TF_TW
MrpBF|托外加工缴回单|托外加工缴回单|MF_TB|TF_TB
MrpBK|托外缴回验收单|托外缴回验收单|MF_TY|TF_TY
MTNMA|外部维修申请|外部维修申请|MF_MA|TF_MA
DRPEB|外出单|外出单|MF_EG|
MngCL|外出假单输入|外出假单输入||
MTNOW|外派完工单|外派完工单|MF_MFIN|TF_MFIN
MTNOT|外派维修单|外派维修单|MF_MOUT|TF_MOUT
CardMng|忘打卡|忘打卡|TF_SKTZ|
MTNQC|维修产品检测|维修产品检测|MF_MTNQC|TF_MTNQC
MTNCF|维修成本切制|维修成本切制|MF_CB|TF_CB
MTNRV|维修收件单|维修收件单|MF_RCV|TF_RCV
MTNRR|维修退件单|维修退件单|MF_RCV|TF_RCV
MTNBOM|维修物料配方输入|维修物料配方输入|MF_WBOM|TF_WBOM
CardMng|未打卡|未打卡|TF_SKTZ|
ATTN06|问题报告单|问题报告单|MF_PR|TF_PR
DRPWL|物流提单|物流提单|MF_WL|TF_WL
INVV5|洗护开卡作业|洗护开卡作业|MF_WPE|TF_WPE
AccAB|现金付款|现金付款|VHED|VDTL
AccAB|现金收款|现金收款|VHED|VDTL
DRPBQ|箱条码打印-子项管理|箱条码打印-子项管理|PRDT_BARCODE_BOX|PRDT_BARBOX_SUB
DRPB2|箱条码打印作业|箱条码打印作业|PRDT_BARCODE_BOX|
CSNIY|项目安装单|项目安装单|MF_IQTY|TF_IQTY
PRJBA|项目变更单|项目变更单|M_BA|TF_BA
AccDA|销货成本切制传票|销货成本切制传票|MF_CB|TF_CB
AccDA_IFRS|销货成本切制传票(IFRS)|销货成本切制传票(IFRS)|MF_CB|TF_CB
InvCA|销货单|销货单|MF_PSS|TF_PSS
InvCMB|销货发票补登作业|销货发票补登作业|MF_BDFP|TF_BDFP
InvIK|销货开票[已立帐]|销货开票[已立帐]|MF_LZ|TF_LZ
InvIC|销货立帐开票|销货立帐开票|MF_LZ|TF_LZ
InvIC|销货立帐开票[借出]|销货立帐开票[借出]|MF_LZ|TF_LZ
InvIC|销货立帐开票[销货]|销货立帐开票[销货]|MF_LZ|TF_LZ
InvCB|销货退回|销货退回|MF_PSS|TF_PSS
INVCBA|销货退回申请单|销货退回申请单|MF_DYH|TF_DYH
InvGD|销货退回送检|销货退回送检|MF_TI|TF_TI
InvFR|销货退回验收单|销货退回验收单|MF_TY|TF_TY
InvCC|销货折让|销货折让|MF_PSS|TF_PSS
SgtAGC1|销货转进货|销货转进货|MF_ZD|TF_ZD
SgtAGC2|销货转进货再转销货|销货转进货再转销货|MF_ZD|TF_ZD
SgtAGI1|销货转入库|销货转入库|MF_ZD|TF_ZD
SgtAGF1|销货转托工缴回|销货转托工缴回|MF_ZD|TF_ZD
InvCU|销售费用支出分摊作业|销售费用支出分摊作业|MF_FF|TF_FF
TRDBC|销售确认单|销售确认单|MF_ZA|TF_ZA
TRDBC|销售确认单(S/C)|销售确认单(S/C)|MF_AESC|TF_AESC
AccAT|销售收入认列拆分处理|销售收入认列拆分处理|MF_SA_IFRS|TF_SA_IFRS
PosBB|销售退回单|销售退回单||
InvCAI|销售预测单|销售预测单|MF_YU|TF_YU
SgtAGI1|销退转进退|销退转进退|MF_ZD|TF_ZD
SgtAGI2|销退转进退再转销退|销退转进退再转销退|MF_ZD|TF_ZD
TaxBA|销项凭证输入|销项凭证输入|MF_SALE|MF_SALE
InvJC|协议信用单据|协议信用单据|MY_XY|NULL
WagCB|薪资调整异动登录|薪资调整异动登录|TF_SZTZ|
WagCEC|薪资发放作业|薪资发放作业|MF_FS|
WagDB|薪资切制凭证作业|薪资切制凭证作业|MF_SV|TF_SV
DRPYN|新品要货申请|新品要货申请|MF_DYH|TF_DYH
SYSSZ|信用调整|信用调整|CUST_XYTZ|
SgtHB|信用额度修改作业|信用额度修改作业|LC_CLN|
TRDAH|信用状收状作业|信用状收状作业|MF_LCO|TF_LCO
SgtHD|信用状押汇作业|信用状押汇作业|MF_LCR|TF_LCR
OthHZYQF|型体加工难度设定|型体加工难度设定||
SvsAA|修理单录入|修理单录入|MF_INP|TF_INP
InvKBB|序列号变更单|序列号变更单|MF_BAR|TF_BAR
InvDBF|序列号盘点作业|序列号盘点作业|MF_PT|TF_PT
SYSXPMB|选配模板|选配模板||
InvAC|询价单|询价单|MF_QTS|TF_QTS
OthAHCA|询价上单|询价上单|MF_IO|TF_IO
MrpFEH|巡检记录单|巡检记录单|MF_QC_XJ|TF_QC_XJ
InvIH|验收退回单|验收退回单|MF_TY|TF_TY
SgtAGJ1|验退转销退|验退转销退|MF_ZD|TF_ZD
MrpFER|验证记录单|验证记录单|MF_YZ_QC|
INVOM|样品单|样品单|MF_FMOD|TF_FMOD
INVON|样品申请单|样品申请单|MF_FNOD|TF_FNOD
PosEC|要货单|要货单||
DrpYR|要货退回申请单|要货退回申请单|MF_DYH|TF_DYH
WagFI|业务员奖金核发作业|业务员奖金核发作业|MF_SJ|TF_SJ
ATTN07|业务月奖金|业务月奖金|MF_SM|TF_SM
UP_DEFA|一般采购政策|一般采购政策|UP_DEF|
AccAB|一般凭证|一般凭证|VHED|VDTL
UP_DEF|一般售价政策|一般售价政策|UP_DEF|
Up_DefB|一般托工定价政策|一般托工定价政策|UP_DEF|
DRPYC|一般要货申请|一般要货申请|MF_DYH|TF_DYH
MrpEO|异常请购申请单|异常请购申请单|MF_YQ|TF_YQ
MrpER|异常通知单|异常通知单|TZERR|TZERR
AccAB|银行付款|银行付款|VHED|VDTL
AccAB|银行收款|银行收款|VHED|VDTL
AccEN1|银行资料|银行资料|BANK|
MonCB|应付撤票|应付撤票|MF_CHK|TF_CHK
MonCB|应付兑现|应付兑现|MF_CHK|TF_CHK
MonCB|应付付票|应付付票|MF_CHK|TF_CHK
MonBD|应付款开帐单|应付款开帐单|MF_EXP|TF_EXP
NULL|应付立帐单|应付立帐单||
MonCM|应付票据购买作业|应付票据购买作业|MF_GM|TF_GM
MonCO|应付票据作废作业|应付票据作废作业||
MonCB|应付退票|应付退票|MF_CHK|TF_CHK
MonCB|应付押票|应付押票|MF_CHK|TF_CHK
MonBZA|应付帐款冻结作业|应付帐款冻结作业|MF_DJ|TF_DJ
MonBZB|应付帐款取消冻结作业|应付帐款取消冻结作业|MF_DJ|TF_DJ
MonCB|应付注销|应付注销|MF_CHK|TF_CHK
MonCA|应收撤票|应收撤票|MF_CHK|TF_CHK
MonCA|应收呆帐|应收呆帐|MF_CHK|TF_CHK
MonCA|应收兑现|应收兑现|MF_CHK|TF_CHK
MonCA|应收还票|应收还票|MF_CHK|TF_CHK
MonAD|应收款开帐单|应收款开帐单|MF_EXP|TF_EXP
NULL|应收立帐单|应收立帐单||
MonCA|应收收票|应收收票|MF_CHK|TF_CHK
MonCA|应收贴现|应收贴现|MF_CHK|TF_CHK
MonCA|应收退票|应收退票|MF_CHK|TF_CHK
MonCA|应收托收|应收托收|MF_CHK|TF_CHK
MonCA|应收质押|应收质押|MF_CHK|TF_CHK
MonCA|应收转付|应收转付|MF_CHK|TF_CHK
MonCA|应收作废|应收作废|MF_CHK|TF_CHK
INVEJ|营销费用调整|营销费用调整|MF_ME|TF_ME
INVEE|营销费用计算|营销费用计算|MF_ME|TF_ME
INVEA|营销费用申请|营销费用申请|MF_ME|TF_ME
OTH00098|佣金单输入|佣金单输入||
SgtBE|余料结转申请|余料结转申请|MF_LC_SGT|TF_LC_SGT
MonBQA|预付(收)款开立发票|预付(收)款开立发票|MF_LS|TF_LS
MonA2A|预收(付)款开立发票|预收(付)款开立发票|MF_LS|TF_LS
MrpAE|原料调拨单|原料调拨单|MF_MC|TF_MC
MrpADY|原料调拨申请单|原料调拨申请单|MF_DS|TF_DS
MonDU|员工还款单|员工还款单|MF_FK|TF_FK
MonDT|员工借款单|员工借款单|MF_JK|
MonDS|员工借款申请单|员工借款申请单|MF_JS|
WagCR|员工借支单|员工借支单|MF_YGJZ|TF_YGJZ
WagAH|员工眷保资料|员工眷保资料||
WagBJ|员工内部调动输入|员工内部调动输入|MF_YGDL|TF_YGDL
MngBDB|员工请假单登录|员工请假单登录|MF_VC|
WagBMB|员工请假单登录|员工请假单登录||
MngWagPj|员工请假单批次作业|员工请假单批次作业||
FixAJ|员工请假单批次作业|员工请假单批次作业|MF_FI|TF_FI
WagAA|员工薪资结构|员工薪资结构||
WagBB|员工薪资结构设置|员工薪资结构设置||
FasEB|员工资料|员工资料|SALM|
InvDEB|月初标准成本调整单|月初标准成本调整单|MF_IJ|TF_IJ
InvDEA|月末成本调整单|月末成本调整单|MF_IJ|TF_IJ
MrpECV|在制费用对冲单|在制费用对冲单|MF_CV|TF_CV
|在制品存货评价|在制品存货评价|OT_MF_CI|OT_TF_CI
InvBL|暂估单|暂估单|MF_ZG|TF_ZG
InvBLB|暂估回冲|暂估回冲|MF_ZG|TF_ZG
InvBLA|暂估退回|暂估退回|MF_ZG|TF_ZG
MonDCB|帐户调拨|帐户调拨|MF_BAC|TF_BAC
MonDCC|帐户调拨申请单|帐户调拨申请单|MF_BDS|TF_BDS
MonDCA|帐户收支|帐户收支|MF_BAC|TF_BAC
AccEO1|帐户资料|帐户资料|BACC|
MonAW|帐款月末调汇作业|帐款月末调汇作业|MF_TH|TF_TH
DRPDJ|折扣卷|折扣卷|COUPON|
OTH00311|指令书排程作业|指令书排程作业|MF_PP|TF_PP
OTH00309|指令书作业|指令书作业|ZL_NO|
MrpFM|制成品检验单|制成品检验单|MF_QC|TF_QC
MrpBLA|制成品送检|制成品送检|MF_TI|TF_TI
MrpBH|制成品验收退回单|制成品验收退回单|MF_TY|TF_TY
MrpZY|制程不合格转移单|制程不合格转移单|MF_ZY|TF_ZY
MrpED|制程规划|制程规划|MF_ZC|TF_ZC
WagTyAB|制程计件工资核发|制程计件工资核发|ZCJJHF_MF|
MrpFL|制程检验单|制程检验单|MF_QC|TF_QC
OthMFDE|制程末件检验单|制程末件检验单|MF_QCFZC|TF_QCFZC
MrpEDA|制程品制程规划变更|制程品制程规划变更|MF_ECN_ZC|TF_ECN_ZC
MrpBO|制程生产验收单|制程生产验收单|MF_TY|TF_TY
MrpEL|制程生产中间入库|制程生产中间入库|MF_MV|
MrpEM|制程生产转移单|制程生产转移单|MF_MV|
OthMFDC|制程首件检验单|制程首件检验单|MF_QCFZC|TF_QCFZC
WagBBB|制程数量输入|制程数量输入|MF_WPQTY|TF_WPQTY
MrpBL|制程送检|制程送检|MF_TI|TF_TI
OthMFDD|制程巡检检验单|制程巡检检验单|MF_QC_XJZC|TF_QC_XJZC
MrpBHO|制程验收退回|制程验收退回|MF_TY|TF_TY
MrpAC|制令单|制令单|MF_MO|TF_MO
OthAMB|制令生产日报表|制令生产日报表|MF_SC_ZG|TF_SC_ZG
AccAB|制票号码|制票号码|VHED|VDTL
OthHZYQBC|制作说明书|文件制作说明书|MF_BOOK_HZYQ|TF_BOOK_HZYQ
InvZX|智能装箱分析作业|智能装箱分析作业|MF_ZX|TF_ZX
OthHZYQD|中类代号/工厂型体|中类代号/工厂型体|INDX|
FASECM1|中类代号设置|中类代号设置||
OthMCAD|中文订单(印刷业)|中文订单(印刷业)|MF_ZD_MC|TF_ZDLJ_MC
InvDW|重复盘点单|重复盘点单|MF_PTM|TF_PTM
AccAB|转帐凭证|转帐凭证|VHED|VDTL
InvTRDC|装船通知单|装船通知单|MF_SHIP|TF_SHIP
BARBOX|装箱单|装箱单||
MrpKC|装箱单|装箱单|MF_BZ|TF_BZ
MrpAZC|子件变更分析作业|子件变更分析作业|MF_CG_FX|TF_CG_FX1
MojAN|自制模具入库单|自制模具入库单|MF_RK_M|TF_RK_M
MrpAMA|自制品独立转单|自制品独立转单|MF_RM|TF_RM
SebAG|自制设备入库单|自制设备入库单|MF_RK_S|TF_RK_S
MrpBC|组合生产单|组合生产单|MF_MB|TF_MB
TRDCD|遠期信用狀贖單作業|遠期信用狀贖單作業|MF_LCR|TF_LCR
